family,group,module,metric_name,zone,side,views,source_spaces,scope,status,catalog_role,function_template,notes
F_mandible,mandible,mandible.py,jaw_R_regional_p95_vertex_distance,jaw_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F9,dense_residuals,dense_residuals.py,jaw_R_regional_signed_normal_displacement_mean,jaw_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,pair,active,both,,restored_from_stability_and_identity_config
F9,dense_residuals,dense_residuals.py,jaw_R_regional_signed_normal_displacement_median,jaw_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,pair,active,both,,restored_from_stability_and_identity_config
F9,dense_residuals,dense_residuals.py,jaw_R_regional_signed_normal_displacement_p95,jaw_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,pair,active,both,,restored_from_stability_and_identity_config
F9,dense_residuals,dense_residuals.py,jaw_R_stable_anchor_unstable_residual,jaw_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,pair,active,both,,restored_from_stability_and_identity_config
F_mandible,mandible,mandible.py,jaw_R_surface_area_ratio,jaw_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_mandible,mandible,mandible.py,jaw_R_tps_bending_energy_proxy,jaw_R,R,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_mandible,mandible,mandible.py,jaw_taper_index,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_mandible,mandible,mandible.py,jaw_triangle_apex_angle_deg,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,pruned,discrimination,,restored_from_stability_and_identity_config
F_mandible,mandible,mandible.py,jaw_triangle_area_ratio,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F_mandible,mandible,mandible.py,jaw_width_ratio,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
F9,dense_residuals,dense_residuals.py,left_apex_displacement,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,pair,active,both,,restored_from_stability_and_identity_config
F0,existing,existing_backend.py,left_canthus_z_delta,face,NA,"FR,LTL,RTL,LTM,RTM,LTD,RTD,LP,RP",canon_bucket,single,active,both,,restored_from_stability_and_identity_config
